task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,atc,125,1,1,32,16,2500,0,None,None,0.00025,th_standard,0.8723118279569892,0.8312574365205944,0.8723118279569892,0.8631091131091131,0.8705664854858404,0.8723118279569892,0.8312574365205944,0.8723118279569892,0.8723118279569892,0.8444237537721957,0.869390220185249,0.942955030674329,0.942955030674329,0.942955030674329,0.6895915678524374
pds,ica,atc,125,2,1,32,16,2500,0,None,None,0.00025,th_standard,0.7880434782608695,0.7455513784461153,0.7880434782608695,0.7981701981968273,0.7930486386889867,0.7880434782608695,0.7455513784461153,0.7880434782608695,0.7880434782608695,0.7572867253494331,0.7779477502059705,0.7883536967418547,0.7883536967418547,0.7883536967418547,0.5220460903157054
pds,ica,atc,125,3,1,32,16,2500,0,None,None,0.00025,th_standard,0.7476255088195387,0.6573916012290885,0.7476255088195387,0.7137079016294647,0.73451578199551,0.7476255088195387,0.6573916012290885,0.7476255088195387,0.7476255088195387,0.6691142393697138,0.7288177952466002,0.8214919767838853,0.8214919767838853,0.8214919767838853,0.34983542178503324
pds,ica,atc,125,4,1,32,16,2500,0,None,None,0.00025,th_standard,0.7350069735006973,0.668943668943669,0.7350069735006973,0.7667587213089129,0.7548256468579132,0.7350069735006973,0.668943668943669,0.7350069735006973,0.7350069735006973,0.672618475439777,0.7067029264570849,0.8431343431343431,0.8431343431343431,0.8431343431343431,0.3754985284814478
pds,ica,atc,125,5,1,32,16,2500,0,None,None,0.00025,th_standard,0.7805194805194805,0.6540909090909091,0.7805194805194805,0.7628240368757135,0.7733267282470142,0.7805194805194805,0.6540909090909091,0.7805194805194805,0.7805194805194805,0.6719282190136922,0.7528201293904645,0.7904214876033057,0.7904214876033057,0.7904214876033057,0.3643202579258462
pds,ica,atc,125,6,1,32,16,2500,0,None,None,0.00025,th_standard,0.6622864651773982,0.5912861736334405,0.6622864651773982,0.7575290275761974,0.736072437343729,0.6622864651773982,0.5912861736334405,0.6622864651773982,0.6622864651773982,0.5516725999857875,0.5923480689319088,0.6688888888888889,0.6688888888888889,0.6688888888888889,0.20715991227465658
pds,ica,atc,125,7,1,32,16,2500,0,None,None,0.00025,th_standard,0.7584345479082322,0.6561651583710407,0.7584345479082322,0.7181149732620321,0.7438197767145135,0.7584345479082322,0.6561651583710407,0.7584345479082322,0.7584345479082322,0.6697441643323996,0.7388025619604567,0.7404803341454926,0.7404803341454926,0.7404803341454926,0.351160572337043
pds,ica,atc,125,8,1,32,16,2500,0,None,None,0.00025,th_standard,0.7493074792243767,0.6855789380001133,0.7493074792243767,0.8016756102693603,0.7832456242363618,0.7493074792243767,0.6855789380001133,0.7493074792243767,0.7493074792243767,0.6903703036779218,0.7210550553909968,0.8359021659101757,0.8359021659101757,0.8359021659101757,0.4124803308906173
pds,ica,atc,125,9,1,32,16,2500,0,None,None,0.00025,th_standard,0.809775429326288,0.7271575066251872,0.809775429326288,0.8016304941752453,0.8069112763061411,0.809775429326288,0.7271575066251872,0.809775429326288,0.809775429326288,0.7479140843246443,0.7965783423926039,0.8252596579592777,0.8252596579592777,0.8252596579592777,0.5031812298324614
pds,ica,atc,125,10,1,32,16,2500,0,None,None,0.00025,th_standard,0.7227456258411844,0.6713823614078148,0.7227456258411844,0.7403635706848558,0.7338461925207291,0.7227456258411844,0.6713823614078148,0.7227456258411844,0.7227456258411844,0.6741228070175439,0.7003825175320537,0.7363225913973608,0.7363225913973608,0.7363225913973608,0.3715592563395086
pds,ica,atc,125,1,2,32,16,2500,0,None,None,0.00025,th_standard,0.8561827956989247,0.8052834105465685,0.8561827956989247,0.8485663082437276,0.8543400971210544,0.8561827956989247,0.8052834105465685,0.8561827956989247,0.8561827956989247,0.8217493232304913,0.8514442444418008,0.9356218829903041,0.9356218829903041,0.9356218829903041,0.6451077943615258
pds,ica,atc,125,2,2,32,16,2500,0,None,None,0.00025,th_standard,0.7472826086956522,0.6781954887218045,0.7472826086956522,0.7998102466793169,0.7808658526524215,0.7472826086956522,0.6781954887218045,0.7472826086956522,0.7472826086956522,0.6827233285126266,0.7169475252361582,0.7872102130325813,0.7872102130325813,0.7872102130325813,0.3993260320134794
pds,ica,atc,125,3,2,32,16,2500,0,None,None,0.00025,th_standard,0.7557666214382632,0.6784781495390919,0.7557666214382632,0.7206074736775473,0.7443073436495854,0.7557666214382632,0.6784781495390919,0.7557666214382632,0.7557666214382632,0.6902262240570884,0.7430065440720168,0.8207579378627516,0.8207579378627516,0.8207579378627516,0.38669083041303365
pds,ica,atc,125,4,2,32,16,2500,0,None,None,0.00025,th_standard,0.7405857740585774,0.6847341847341848,0.7405857740585774,0.7523838506796511,0.7473275321277623,0.7405857740585774,0.6847341847341848,0.7405857740585774,0.7405857740585774,0.6919078509647372,0.7211146048210414,0.8382998382998381,0.8382998382998381,0.8382998382998381,0.40177634234961646
pds,ica,atc,125,5,2,32,16,2500,0,None,None,0.00025,th_standard,0.7584415584415585,0.6086363636363636,0.7584415584415585,0.7381340579710145,0.7491200828157351,0.7584415584415585,0.6086363636363636,0.7584415584415585,0.7584415584415585,0.615,0.7157142857142857,0.8139421487603304,0.8139421487603304,0.8139421487603304,0.2685393258426966
pds,ica,atc,125,6,2,32,16,2500,0,None,None,0.00025,th_standard,0.6754270696452037,0.6212683101107539,0.6754270696452037,0.6974027031428106,0.6911045318929809,0.6754270696452037,0.6212683101107539,0.6754270696452037,0.6754270696452037,0.6098464642355281,0.639063464722531,0.6679456948910325,0.6679456948910325,0.6679456948910325,0.26533204613586703
pds,ica,atc,125,7,2,32,16,2500,0,None,None,0.00025,th_standard,0.7732793522267206,0.6628393665158371,0.7732793522267206,0.7528236374935826,0.7649831975436985,0.7732793522267206,0.6628393665158371,0.7732793522267206,0.7732793522267206,0.6793860100958071,0.7493962577196054,0.7775931082492169,0.7775931082492169,0.7775931082492169,0.37550541280813876
pds,ica,atc,125,8,2,32,16,2500,0,None,None,0.00025,th_standard,0.7285318559556787,0.6513993058083934,0.7285318559556787,0.8258825168492363,0.7963167605778596,0.7285318559556787,0.6513993058083934,0.7285318559556787,0.7285318559556787,0.6438874628818763,0.6833240551094433,0.8555142924181007,0.8555142924181007,0.8555142924181007,0.34594799456466474
pds,ica,atc,125,9,2,32,16,2500,0,None,None,0.00025,th_standard,0.7965653896961691,0.7079403486247593,0.7965653896961691,0.7847194050033807,0.7922024146058915,0.7965653896961691,0.7079403486247593,0.7965653896961691,0.7965653896961691,0.7275502000523502,0.78098715791305,0.8212269352953764,0.8212269352953764,0.8212269352953764,0.46435890131500357
pds,ica,atc,125,10,2,32,16,2500,0,None,None,0.00025,th_standard,0.6339165545087483,0.6219565777313152,0.6339165545087483,0.6199359308649333,0.6375537899282774,0.6339165545087483,0.6219565777313152,0.6339165545087483,0.6339165545087483,0.6206394257482242,0.6354448570998877,0.7140357256488341,0.7140357256488341,0.7140357256488341,0.24164327634600657
pds,ica,atc,125,1,3,32,16,2500,0,None,None,0.00025,th_standard,0.8279569892473119,0.8550163287005392,0.8279569892473119,0.808944373049385,0.8659822216431656,0.8279569892473119,0.8550163287005392,0.8279569892473119,0.8279569892473119,0.8162225584339395,0.833824204653998,0.9369636211741476,0.9369636211741476,0.9369636211741476,0.6386074364170404
