task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,atc,125,1,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.8235294117647058,0.8424908424908425,0.8235294117647058,0.8235294117647058,0.85121107266436,0.8235294117647058,0.8424908424908425,0.8235294117647058,0.8235294117647058,0.8210526315789474,0.8260061919504643,,,,0.6470588235294117
pds,ica,atc,125,2,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.8857142857142857,0.8833333333333333,0.8857142857142857,0.8833333333333333,0.8857142857142857,0.8857142857142857,0.8833333333333333,0.8857142857142857,0.8857142857142857,0.8833333333333333,0.8857142857142857,,,,0.7666666666666666
pds,ica,atc,125,3,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.6176470588235294,0.5439560439560439,0.6176470588235294,0.5714285714285714,0.5882352941176471,0.6176470588235294,0.5439560439560439,0.6176470588235294,0.6176470588235294,0.5252416756176155,0.5745245466607695,,,,0.09795918367346934
pds,ica,atc,125,4,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.7647058823529411,0.7614035087719297,0.7647058823529411,0.7614035087719297,0.7647058823529411,0.7647058823529411,0.7614035087719297,0.7647058823529411,0.7647058823529411,0.7614035087719297,0.7647058823529411,,,,0.5228070175438597
pds,ica,atc,125,5,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.7352941176470589,0.6831501831501832,0.7352941176470589,0.7403846153846154,0.7381221719457014,0.7352941176470589,0.6831501831501832,0.7352941176470589,0.7352941176470589,0.6899696048632218,0.7178616127301984,,,,0.3952569169960475
pds,ica,atc,125,6,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.7352941176470589,0.7350877192982456,0.7352941176470589,0.7326388888888888,0.7379493464052288,0.7352941176470589,0.7350877192982456,0.7352941176470589,0.7352941176470589,0.7332170880557978,0.735986460844146,,,,0.4668989547038328
pds,ica,atc,125,7,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.6764705882352942,0.6794871794871795,0.6764705882352942,0.6701388888888888,0.6954656862745098,0.6764705882352942,0.6794871794871795,0.6764705882352942,0.6764705882352942,0.6693191865605659,0.6807614292401309,,,,0.3438596491228071
pds,ica,atc,125,8,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.7941176470588235,0.8017543859649123,0.7941176470588235,0.7986111111111112,0.8075980392156863,0.7941176470588235,0.8017543859649123,0.7941176470588235,0.7941176470588235,0.793939393939394,0.7946524064171123,,,,0.5910652920962199
pds,ica,atc,125,9,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.7941176470588235,0.7454212454212454,0.7941176470588235,0.8221153846153846,0.8096719457013575,0.7941176470588235,0.7454212454212454,0.7941176470588235,0.7941176470588235,0.7588652482269503,0.7805590321234877,,,,0.5296442687747036
pds,ica,atc,125,10,1,32,16,2500,0,phase_swap,masking,0.00025,subject,0.6764705882352942,0.6403508771929824,0.6764705882352942,0.7380952380952381,0.7268907563025211,0.6764705882352942,0.6403508771929824,0.6764705882352942,0.6764705882352942,0.6210739614994933,0.6381190774182013,,,,0.2996254681647941
