task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,atc,125,1,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.8723118279569892,0.8812308549150654,0.8723118279569892,0.8467578520770009,0.8867924142889825,0.8723118279569892,0.8812308549150654,0.8723118279569892,0.8723118279569892,0.8586894586894587,0.8753193640290414,0.9335881792022143,0.9335881792022143,0.9335881792022143,0.7188409947968877
pds,ica,atc,125,2,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.8029891304347826,0.7803571428571429,0.8029891304347826,0.7951930926993395,0.8009582298482386,0.8029891304347826,0.7803571428571429,0.8029891304347826,0.8029891304347826,0.7860666697404215,0.8004548488815209,0.8103383458646617,0.8103383458646617,0.8103383458646617,0.5729560151098021
pds,ica,atc,125,3,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.7801899592944369,0.7673694093547285,0.7801899592944369,0.7484336584978983,0.7924411210230506,0.7801899592944369,0.7673694093547285,0.7801899592944369,0.7801899592944369,0.7553120849933599,0.7842127645005685,0.8083560942301127,0.8083560942301127,0.8083560942301127,0.5120681340776644
pds,ica,atc,125,4,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.7880055788005579,0.761112761112761,0.7880055788005579,0.7806547724612493,0.7856626923179097,0.7880055788005579,0.761112761112761,0.7880055788005579,0.7880055788005579,0.767905819817364,0.7841951979506633,0.8621506121506122,0.8621506121506122,0.8621506121506122,0.5373879380603097
pds,ica,atc,125,5,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.8038961038961039,0.7031818181818182,0.8038961038961039,0.7834953471477497,0.797068431274679,0.8038961038961039,0.7031818181818182,0.8038961038961039,0.8038961038961039,0.7246946115724395,0.7879790969642294,0.7605454545454545,0.7605454545454545,0.7605454545454545,0.45822655048692984
pds,ica,atc,125,6,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.683311432325887,0.6567381207574133,0.683311432325887,0.6724163679808841,0.6781311375807159,0.683311432325887,0.6567381207574133,0.683311432325887,0.683311432325887,0.6593066910389231,0.675824805092824,0.7369489103251161,0.7369489103251161,0.7369489103251161,0.3236004617489664
pds,ica,atc,125,7,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.7530364372469636,0.6952488687782805,0.7530364372469636,0.7035931403683876,0.7485279299328076,0.7530364372469636,0.6952488687782805,0.7530364372469636,0.7530364372469636,0.6989844278943804,0.7504543348893561,0.7728854855551689,0.7728854855551689,0.7728854855551689,0.39826939717334864
pds,ica,atc,125,8,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.7991689750692521,0.7693350162220767,0.7991689750692521,0.7999009009009009,0.7994691173167627,0.7991689750692521,0.7693350162220767,0.7991689750692521,0.7991689750692521,0.7784071305956486,0.7938141102050196,0.8817770657863864,0.8817770657863864,0.8817770657863864,0.5598412418119287
pds,ica,atc,125,9,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.797886393659181,0.7720153737264004,0.797886393659181,0.7618313898219151,0.8025832140824263,0.797886393659181,0.7720153737264004,0.797886393659181,0.797886393659181,0.7663792320958518,0.7998130905893127,0.8709364146626504,0.8709364146626504,0.8709364146626504,0.5330306781116572
pds,ica,atc,125,10,1,32,16,2500,0,phase_swap,masking,0.00025,th_corrected,0.6123822341857336,0.6241004196778934,0.6123822341857336,0.6191366194929675,0.6424017244401071,0.6123822341857336,0.6241004196778934,0.6123822341857336,0.6123822341857336,0.6102465465990559,0.6162653025251477,0.6924079208520825,0.6924079208520825,0.6924079208520825,0.2344371619107588
