task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,atc,125,1,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.8279569892473119,0.857396015290752,0.8279569892473119,0.8101951880470208,0.8684373733782074,0.8279569892473119,0.857396015290752,0.8279569892473119,0.8279569892473119,0.8167487684729065,0.8339265850945495,0.9335881792022143,0.9335881792022143,0.9335881792022143,0.640147822341125
pds,ica,atc,125,2,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.7391304347826086,0.7467418546365915,0.7391304347826086,0.7333214835881028,0.7588808688439286,0.7391304347826086,0.7467418546365915,0.7391304347826086,0.7391304347826086,0.7333896821323995,0.7427449827475552,0.8103383458646617,0.8103383458646617,0.8103383458646617,0.4713909504429016
pds,ica,atc,125,3,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.7693351424694709,0.7244964151587572,0.7693351424694709,0.7324689328454509,0.7659057276207248,0.7693351424694709,0.7244964151587572,0.7693351424694709,0.7693351424694709,0.7281032986111111,0.7673238330129656,0.8083560942301127,0.8083560942301127,0.8083560942301127,0.45643779989414224
pds,ica,atc,125,4,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.7684797768479776,0.7735620235620235,0.7684797768479776,0.760009409550694,0.7830004065004641,0.7684797768479776,0.7735620235620235,0.7684797768479776,0.7684797768479776,0.7621462829736212,0.7714029278669116,0.8621506121506122,0.8621506121506122,0.8621506121506122,0.5270486135946404
pds,ica,atc,125,5,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.7285714285714285,0.69,0.7285714285714285,0.6757631822386678,0.7417734901546187,0.7285714285714285,0.69,0.7285714285714285,0.7285714285714285,0.6811316231119635,0.7338425180669247,0.7605454545454545,0.7605454545454545,0.7605454545454545,0.36363636363636365
pds,ica,atc,125,6,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.6846254927726675,0.6677813504823151,0.6846254927726675,0.6726061835663564,0.6815403224951118,0.6846254927726675,0.6677813504823151,0.6846254927726675,0.6846254927726675,0.6694609738088,0.6823926801644907,0.7369489103251161,0.7369489103251161,0.7369489103251161,0.33961036143532775
pds,ica,atc,125,7,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.7516869095816464,0.6942873303167421,0.7516869095816464,0.701989361124681,0.7474314620073497,0.7516869095816464,0.6942873303167421,0.7516869095816464,0.7516869095816464,0.6977602014577311,0.7492748523492668,0.7728854855551689,0.7728854855551689,0.7728854855551689,0.3957829243000346
pds,ica,atc,125,8,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.8047091412742382,0.7851282798126169,0.8047091412742382,0.7975430597771023,0.8029340568666908,0.8047091412742382,0.7851282798126169,0.8047091412742382,0.8047091412742382,0.7900136756579477,0.802631771789213,0.8817770657863864,0.8817770657863864,0.8817770657863864,0.5806579175008033
pds,ica,atc,125,9,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.760898282694848,0.778175563346666,0.760898282694848,0.7398694201972891,0.8038231772774944,0.760898282694848,0.778175563346666,0.760898282694848,0.760898282694848,0.7437176530442378,0.7695762537938807,0.8709364146626504,0.8709364146626504,0.8709364146626504,0.49666258903742233
pds,ica,atc,125,10,1,32,16,2500,0,phase_swap,masking,0.00025,th_standard,0.6716016150740243,0.641395088102056,0.6716016150740243,0.6539483017436202,0.6645130259374913,0.6716016150740243,0.641395088102056,0.6716016150740243,0.6716016150740243,0.6439670070699136,0.6646595879425569,0.6924079208520825,0.6924079208520825,0.6924079208520825,0.291695317872101
